file,family,size_bytes,rows,columns,schema_id,null_cells,null_counts
data/processed/schools/school_map.parquet,processed/schools,106702,485,62,133fd1a54a,10440,"{""school_id"":0,""school_name"":0,""school_level"":0,""sigungu"":0,""legal_dong_code"":0,""legal_dong"":16,""address"":0,""latitude"":2,""longitude"":2,""closed"":0,""suspended"":0,""school_type"":485,""establishment_type"":0,""gender_type"":2,""score"":13,""score_type"":0,""data_year"":0,""busan_rank"":13,""district_rank"":13,""score_source_name"":0,""coordinate_source"":2,""total_students"":183,""total_classes"":183,""students_per_class"":183,""transfer_in"":183,""transfer_out"":183,""net_transfer_rate"":185,""student_growth_3y"":183,""student_trend_slope"":185,""adjusted_upper_grade_index"":183,""adjusted_cohort_growth"":185,""demand_cluster_name"":185,""demand_score_quality"":183,""observed_years"":183,""first_year"":183,""latest_year"":183,""size_component_score"":183,""mobility_component_score"":185,""growth_component_score"":183,""upper_cohort_component_score"":183,""longitudinal_complete"":183,""manual_review"":302,""review_reason"":302,""graduates"":315,""science_hs_count"":315,""foreign_international_hs_count"":315,""autonomous_private_hs_count"":315,""science_rate"":315,""foreign_international_rate"":315,""autonomous_private_rate"":315,""academic_selective_rate"":315,""latest_observation_year"":315,""available_year_count"":315,""observation_years"":315,""graduates_total"":315,""score_stability"":315,""sample_warning"":302,""score_reference_year"":315,""score_status"":302,""ranking_population"":302,""ranking_coverage"":302,""coordinate_valid"":0}"
data/raw/kapt/busan_complexes.parquet,raw/kapt,360758,1468,69,d164030b27,4049,"{""kaptCode"":0,""kaptName"":0,""bjdCode"":0,""as1"":0,""as2"":0,""as3"":0,""as4"":1386,""kaptAddr"":0,""codeSaleNm"":0,""codeHeatNm"":0,""kaptTarea"":0,""kaptDongCnt"":0,""kaptdaCnt"":0,""kaptBcompany"":0,""kaptAcompany"":0,""kaptTel"":0,""kaptUrl"":0,""codeAptNm"":0,""doroJuso"":11,""codeMgrNm"":0,""codeHallNm"":0,""kaptUsedate"":0,""kaptFax"":0,""hoCnt"":0,""kaptMarea"":0,""kaptMparea60"":0,""kaptMparea85"":0,""kaptMparea135"":0,""kaptMparea136"":0,""privArea"":0,""kaptTopFloor"":0,""ktownFlrNo"":0,""kaptBaseFloor"":0,""kaptdEcntp"":0,""zipcode"":194,""codeMgr"":0,""kaptMgrCnt"":42,""kaptCcompany"":105,""codeSec"":0,""kaptdScnt"":39,""kaptdSecCom"":237,""codeClean"":0,""kaptdClcnt"":47,""codeGarbage"":0,""codeDisinf"":0,""kaptdDcnt"":54,""disposalType"":0,""codeStr"":0,""kaptdEcapa"":40,""codeEcon"":0,""codeEmgr"":0,""codeFalarm"":0,""codeWsupply"":0,""codeElev"":0,""kaptdEcnt"":0,""kaptdPcnt"":39,""kaptdPcntu"":39,""codeNet"":0,""kaptdCccnt"":39,""welfareFacility"":151,""kaptdWtimebus"":0,""subwayLine"":271,""subwayStation"":1355,""kaptdWtimesub"":0,""convenientFacility"":0,""educationFacility"":0,""groundElChargerCnt"":0,""undergroundElChargerCnt"":0,""useYn"":0}"
data/raw/rent/202001/26110.parquet,raw/rent,15295,11,27,f9ddc1e469,0,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":0,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26140.parquet,raw/rent,17280,49,27,f9ddc1e469,4,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":4,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26170.parquet,raw/rent,17621,103,27,f9ddc1e469,47,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":47,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26200.parquet,raw/rent,17596,64,27,f9ddc1e469,0,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":0,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26230.parquet,raw/rent,31908,529,27,f9ddc1e469,29,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":29,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26260.parquet,raw/rent,26329,381,27,f9ddc1e469,30,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":30,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26290.parquet,raw/rent,24322,307,27,f9ddc1e469,4,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":4,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
data/raw/rent/202001/26320.parquet,raw/rent,23127,264,27,f9ddc1e469,30,"{""aptNm"":0,""aptSeq"":0,""buildYear"":0,""contractTerm"":0,""contractType"":0,""dealDay"":0,""dealMonth"":0,""dealYear"":0,""deposit"":0,""excluUseAr"":0,""floor"":0,""jibun"":0,""monthlyRent"":0,""preDeposit"":0,""preMonthlyRent"":0,""roadnm"":0,""roadnmbcd"":30,""roadnmbonbun"":0,""roadnmbubun"":0,""roadnmcd"":0,""roadnmseq"":0,""roadnmsggcd"":0,""sggCd"":0,""umdNm"":0,""useRRRight"":0,""lawd_cd"":0,""requested_deal_ymd"":0}"
