internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag
A61477105,개금아이파크,부산진구,개금동,1424.0,2002-06-28,24,1673.0,1.1748595505617978,10.0,23.0,46.0,5,35.1474573442981,129.019633646689,부산광역시 부산진구 복지로 70,True,0.032303370786516857,315250000.0,12240557.712672079,0.08706896551724141,-0.008333333333333304,0.03832752613240409,380000000.0,-0.12368421052631584,250000000.0,0.3320000000000001,8.0,False
A61477302,서면노르웨이아침,부산진구,전포동,512.0,2004-10-01,21,265.0,0.517578125,3.0,4.0,8.0,3,35.1499346550732,129.063479015263,부산광역시 부산진구 동천로 10-1,True,0.015625,,,,,,,,,,,
A61477303,한일유앤아이(890-1),부산진구,전포동,178.0,2006-09-26,19,187.0,1.050561797752809,1.0,5.0,14.0,2,35.1512881171368,129.064832269522,부산광역시 부산진구 전포대로171번길 13,True,0.07865168539325842,,,,0.03213242453748788,-0.0206378986866792,315000000.0,-0.1333333333333333,250000000.0,0.09200000000000008,4.0,False
A61477304,서면세종그랑시아,부산진구,전포동,290.0,2009-10-19,16,412.0,1.4206896551724137,7.0,8.0,16.0,2,35.1518183481782,129.064203905912,부산광역시 부산진구 전포대로171번길 12,True,0.05517241379310345,382500000.0,14882391.086482342,0.047945205479452024,0.02117486338797825,0.006756756756756799,455000000.0,-0.14065934065934071,295000000.0,0.3254237288135593,8.0,False
A61477403,시영(12~17동),부산진구,개금동,633.0,1975-01-01,51,30.0,0.04739336492890995,3.0,12.0,20.0,1,35.1466044705799,129.017038077616,부산광역시 부산진구 진사로61번길 29,True,0.0315955766192733,,,,,,,,,,,
A61477612,반도보라맨션,부산진구,개금동,480.0,1994-03-07,32,435.0,0.90625,2.0,2.0,9.0,2,35.159396809784,129.021662070086,부산광역시 부산진구 개금본동로 42,True,0.01875,,,,,-0.0015822784810126667,205000000.0,-0.24390243902439024,150000000.0,0.03333333333333344,0.0,True
A61477806,국제백양,부산진구,당감동,1153.0,1995-01-21,31,837.0,0.7259323503902863,4.0,17.0,30.0,3,35.1680304177471,129.029180210707,부산광역시 부산진구 백양관문로 104,True,0.026019080659150044,150500000.0,5844144.382667019,-0.11470588235294121,0.044303797468354444,-0.03453453453453459,216500000.0,-0.2840646651270208,135000000.0,0.14814814814814814,13.0,False
A61477902,국제프라자,부산진구,당감동,298.0,1995-03-10,31,240.0,0.8053691275167785,3.0,3.0,7.0,3,35.1669332736502,129.027537743545,부산광역시 부산진구 백양관문로 101,True,0.02348993288590604,160000000.0,6227883.934890304,,0.09589041095890405,-0.03164556962025311,193000000.0,-0.17098445595854928,145000000.0,0.10344827586206895,1.0,True
A61478703,한신타워,부산진구,연지동,350.0,1994-01-14,32,339.0,0.9685714285714285,3.0,5.0,16.0,3,35.176247842543,129.052748020157,부산광역시 부산진구 성지로61번길 30,True,0.045714285714285714,250000000.0,9817222.302098852,0.050420168067226934,0.010351966873705987,0.006250000000000089,300000000.0,-0.16666666666666663,200000000.0,0.25,3.0,False
A61478807,화인,부산진구,연지동,654.0,1996-08-14,30,431.0,0.6590214067278287,3.0,5.0,18.0,4,35.173029858395,129.059865435875,부산광역시 부산진구 동평로291번길 30,True,0.027522935779816515,,,,0.05871029836381125,0.05263157894736836,360000000.0,-0.23611111111111116,225000000.0,0.22222222222222232,1.0,True
