sigungu,complex_count,household_count,average_age,median_age,under_10year_ratio,over_20year_ratio,over_30year_ratio,large_complex_count,average_parking_per_household,transactions_12m,turnover_12m,median_84_price,median_84_price_per_3_3sqm,price_change_6m,price_change_12m,drawdown_from_peak
강서구,46,35391.0,9.717948717948717,10.0,0.5897435897435898,0.0,0.0,34,1.2105812563370386,1351.0,0.03817354694696392,401000000.0,15693397.365347328,-0.024390243902439046,-0.03585253456221199,-0.2740046838407494
금정구,443,36564.0,21.705882352941178,21.0,0.16470588235294117,0.5176470588235295,0.23529411764705882,21,0.9548663218640004,1649.0,0.04509900448528607,290000000.0,11264124.293785311,-0.0023980815347721673,-0.0029325513196480912,-0.12328767123287676
기장군,187,35084.0,14.775862068965518,13.0,0.3275862068965517,0.22413793103448276,0.10344827586206896,31,1.1086061966362788,1551.0,0.04420818606772318,286500000.0,11124937.217126695,-0.004553843684801773,-0.0050366526645251875,-0.15328467153284675
남구,354,60808.0,21.696969696969695,24.0,0.21212121212121213,0.6060606060606061,0.20202020202020202,34,0.987703818904662,2759.0,0.04537231943165373,305875000.0,11903912.90237957,0.01777264090430486,0.025104602510460206,-0.07499999999999996
동구,144,11058.0,14.12,9.0,0.52,0.2,0.08,8,1.0030974920505482,567.0,0.051275094953879545,400000000.0,15534126.829084594,-0.002352941176470613,-0.009139234748990865,-0.08823529411764708
동래구,415,64316.0,22.829268292682926,22.0,0.2764227642276423,0.5365853658536586,0.2764227642276423,38,0.9914992014304899,3094.0,0.04810622551153679,491000000.0,19071327.68361582,0.012152777777777679,0.029870282326700748,-0.1333333333333333
부산진구,482,93710.0,19.434782608695652,21.0,0.2981366459627329,0.5031055900621118,0.19254658385093168,62,0.9887783460935298,4154.0,0.04432824671859994,376250000.0,14767927.858586188,0.015065913370998052,0.0008349049345648396,-0.1333333333333333
북구,199,77840.0,24.245283018867923,27.0,0.1509433962264151,0.7264150943396226,0.3490566037735849,55,0.9024088488425356,2931.0,0.037654162384378215,309000000.0,12109746.063471772,0.005773862040173383,0.006574141709276837,-0.16283122177371007
사상구,181,50774.0,26.9,29.5,0.14444444444444443,0.7888888888888889,0.4777777777777778,36,0.8205810909935077,1426.0,0.0280852404774097,235000000.0,9139658.220388923,-0.028635049161365,-0.019406535620383136,-0.16871723937099592
사하구,420,67624.0,24.184615384615384,27.0,0.18461538461538463,0.6615384615384615,0.36153846153846153,38,0.88314399084973,2515.0,0.0371909381284751,225000000.0,8743525.255994504,0.0,-0.023020257826887658,-0.13432835820895528
서구,243,15080.0,20.641025641025642,22.0,0.3076923076923077,0.5384615384615384,0.20512820512820512,10,1.0621919534211905,857.0,0.05683023872679045,387000000.0,15062717.091955582,0.0,-0.012820512820512775,-0.0805405405405405
수영구,341,31952.0,18.904761904761905,19.0,0.3333333333333333,0.4444444444444444,0.20634920634920634,20,1.1375484768027817,1772.0,0.05545818728092138,575000000.0,22339482.43039441,0.02931034482758621,0.03600000000000003,-0.05496196017006044
연제구,331,50928.0,21.04950495049505,20.0,0.27722772277227725,0.49504950495049505,0.27722772277227725,26,1.0110892752933038,2648.0,0.05199497329563305,407500000.0,15853937.5104859,0.024177858145079112,0.03015151515151515,-0.125
영도구,170,18969.0,24.55263157894737,29.0,0.21052631578947367,0.7105263157894737,0.42105263157894735,12,0.8631946944287522,651.0,0.03431915230112288,181500000.0,7088897.104355788,-0.019631901840490795,-0.00772139212827988,-0.09999999999999998
중구,83,1991.0,28.636363636363637,27.0,0.09090909090909091,0.7272727272727273,0.36363636363636365,0,0.8662667098505715,117.0,0.05876443997990959,230000000.0,9021752.050398193,-0.054824561403508776,-0.023820649755229184,-0.09818181818181815
해운대구,372,106354.0,24.18324607329843,28.0,0.13612565445026178,0.6596858638743456,0.2617801047120419,79,1.0956718277540516,4179.0,0.039293303495872275,558750000.0,21700813.458104968,0.021285194066968716,0.04104609929078018,-0.1944408602150538
