lawd_cd,dong,jibun,complex_name_normalized,trade_complex_name,kapt_complex_name,kapt_code,internal_complex_id,match_method,match_score,name_similarity,candidate_count,trade_road_address_key,trade_legal_address_key,manual_review
26500,망미동,190-1,원정프린스,원정프린스,,,TRADE_EF12FDDDDA4C,unmatched,0.0,18.181818181818176,12,수영구|구락로|151,수영구|망미동|190-1,True
26500,남천동,74-18,마리나프리텔,마리나프리텔,,,TRADE_F6B5F66FA1FB,unmatched,0.0,13.33333333333333,14,수영구|수영로|397-17,수영구|남천동|74-18,True
26500,광안동,139-15,흑석하이츠,흑석하이츠,,,TRADE_5A6A3E80B5E1,unmatched,0.0,46.15384615384615,22,수영구|수영로594번길|19,수영구|광안동|139-15,True
26500,광안동,89-1,센텀디아이리더스,센텀디아이리더스,,,TRADE_49F58333FAD3,unmatched,0.0,21.052631578947366,22,수영구|수영로680번길|6,수영구|광안동|89-1,True
26530,괘법동,532-4,태양원스빌,태양원스빌,,,TRADE_868C944644F8,unmatched,0.0,18.181818181818176,11,사상구|사상로211번길|63,사상구|괘법동|532-4,True
26140,서대신동3가,294-5,크로바b동,크로바B동,,,TRADE_93CBFB568522,unmatched,0.0,0.0,8,서구|구덕로339번길|17,서구|서대신동3가|294-5,True
26140,서대신동3가,277-1,크로바c동,크로바C동,,,TRADE_80EA8D6AE01E,unmatched,0.0,0.0,8,서구|구덕로339번길|22,서구|서대신동3가|277-1,True
26170,초량동,865-42,영림,영림,,,TRADE_AFAB4CC8A0D3,unmatched,0.0,19.999999999999996,10,동구|영초길247번길|26,동구|초량동|865-42,True
26200,청학동,446-4,청학스카이파크,청학스카이파크,,,TRADE_AFDC59D218CB,unmatched,0.0,37.5,9,영도구|청학남로13번길|11,영도구|청학동|446-4,True
26200,동삼동,229-10,영도도남,영도도남,,,TRADE_DEB6D394AF28,unmatched,0.0,33.333333333333336,23,영도구|웃서발로31번길|22,영도구|동삼동|229-10,True
26200,남항동3가,1-2,남일,남일,,,TRADE_37E654EF6CDA,unmatched,0.0,0.0,0,영도구|남항서로82번길|12,영도구|남항동3가|1-2,True
26200,청학동,64,제이메르시,제이메르시아파트,,,TRADE_5B42F416085D,unmatched,0.0,14.28571428571429,9,영도구|태종로422번길|10,영도구|청학동|64,True
26230,가야동,619-7,다산몽레브,다산몽레브,,,TRADE_58738F334685,unmatched,0.0,22.22222222222222,12,부산진구|가야공원로14번길|37,부산진구|가야동|619-7,True
26230,범천동,1230-76,궁전아이브더파크,궁전아이브더파크,,,TRADE_8305F36E260D,unmatched,0.0,25.0,24,부산진구|신암로|87,부산진구|범천동|1230-76,True
26230,양정동,390,양정상가,양정상가,,,TRADE_4A9E689B534A,unmatched,0.0,50.0,13,부산진구|동평로420번길|18,부산진구|양정동|390,True
26260,온천동,360-16,동성빌라트,동성빌라트,,,TRADE_5EF9D99202F1,unmatched,0.0,28.57142857142857,42,동래구|우장춘로|74,동래구|온천동|360-16,True
26260,온천동,407-31,효림시티빌,효림시티빌,,,TRADE_DEB51D82966B,unmatched,0.0,28.57142857142857,42,동래구|금강로|31,동래구|온천동|407-31,True
26260,온천동,1214-2,온천명화빌리지,온천명화빌리지,,,TRADE_75131BD336CB,unmatched,0.0,54.54545454545454,42,동래구|아시아드대로247번길|96,동래구|온천동|1214-2,True
