internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,p_households,p_turnover,p_price_84,p_area_variety,representative_score,scope,rank
A10021565,도경오벨리스,중구,영주동,102.0,2005-09-13,20,,,1.0,3.0,4.0,2,35.1117470885103,129.036813867574,부산광역시 중구 대영로 240,True,0.0392156862745098,250000000.0,10239543.25431302,-0.029126213592232997,,-0.003984063745019917,290000000.0,-0.13793103448275867,204000000.0,0.22549019607843146,3.0,False,0.09090909090909091,0.9090909090909091,0.8,0.608433734939759,0.5912650602409638,district,3.0
A10021688,새들맨션,중구,대청동4가,131.0,1981-04-08,45,57.0,0.4351145038167939,2.0,3.0,4.0,1,35.1049075011062,129.029882668148,부산광역시 중구 중구로 81,True,0.030534351145038167,230000000.0,9021752.050398193,0.05504587155963292,-0.07999999999999996,-0.2068965517241379,370000000.0,-0.3783783783783784,154000000.0,0.49350649350649345,3.0,False,0.45454545454545453,0.8181818181818182,0.6,0.21686746987951808,0.5643483023001096,district,4.0
A10022267,오션라이프에일린의뜰1단지,영도구,동삼동,1228.0,2023-06-28,3,1292.0,1.0521172638436482,11.0,30.0,62.0,5,35.0755544541612,129.074599795214,부산광역시 영도구 태종로 611,True,0.050488599348534204,480000000.0,18649445.75589712,0.0047095761381474865,-0.012628865979381398,-0.007751937984496138,510000000.0,-0.02352941176470591,431900000.0,0.15304468626996992,11.0,False,0.9473684210526315,0.9736842105263158,1.0,0.9852941176470589,0.9741099071207431,district,1.0
A10022434,e편한세상송도더퍼스트비치,서구,암남동,1302.0,2024-08-09,2,1475.0,1.1328725038402458,53.0,107.0,114.0,3,35.0755106315152,129.015072978936,부산광역시 서구 충무대로21번길 9,True,0.08755760368663594,573000000.0,22324507.504096434,-0.028813559322033888,-0.0008242950108460212,0.07621495327102812,674155000.0,-0.1509741824951235,521000000.0,0.0986084452975049,50.0,False,0.9743589743589743,1.0,0.90625,0.8477366255144033,0.9460306861348526,district,1.0
A10022847,대연비치,남구,대연동,1384.0,2025-05-23,1,1807.0,1.305635838150289,11.0,24.0,78.0,6,35.1358668649776,129.110083623465,부산광역시 남구 황령대로 504,True,0.05635838150289017,1577000000.0,61278631.077701315,0.02071197411003234,0.11229946524064172,0.08270676691729317,1577000000.0,0.0,516150000.0,2.055313377894023,4.0,False,0.9292929292929293,0.8585858585858586,1.0,0.9957627118644068,0.9357280431432974,district,2.0
A10022890,레이카운티(5단지),연제구,거제동,4470.0,2023-11-29,2,5335.0,1.1935123042505593,59.0,146.0,344.0,6,35.1899959215514,129.066108752828,부산광역시 연제구 아시아드대로 39,True,0.07695749440715884,1020000000.0,39681183.03210922,-0.019230769230769273,0.05562676236862352,0.1280555555555556,1079000000.0,-0.03707136237256714,630000000.0,0.6492063492063491,75.0,False,1.0,0.8217821782178217,1.0,0.9984894259818731,0.9463080673626274,district,1.0
A10022905,포레나부산덕천2차,북구,덕천동,795.0,2023-11-29,2,889.0,1.1182389937106918,15.0,30.0,47.0,3,35.2135475612397,129.015417583227,부산광역시 북구 만덕대로 101,True,0.05911949685534591,685000000.0,26645936.155841887,0.03318250377073917,0.021068472535741067,,693000000.0,0.0,657000000.0,0.0547945205479452,7.0,False,0.6981132075471698,0.9056603773584906,0.9833333333333333,0.7864321608040201,0.8449302329256345,district,5.0
A10023040,양정포레힐즈스위첸1단지,부산진구,양정동,1338.0,2023-08-31,3,1566.0,1.1704035874439462,24.0,54.0,138.0,4,35.1723960004205,129.079723130345,부산광역시 부산진구 양연로 36,True,0.1031390134529148,745000000.0,28928894.455498666,-0.022950819672131195,0.019450033534540667,0.06212282570110039,783000000.0,-0.048531289910600295,324000000.0,1.299382716049383,33.0,False,0.906832298136646,0.9813664596273292,0.9425287356321839,0.9387966804979253,0.9429113133119273,district,3.0
A10023104,사상중흥에스-클래스그랜드센트럴,사상구,덕포동,1572.0,2023-12-20,2,1667.0,1.0604325699745547,26.0,51.0,100.0,4,35.1716317464552,128.983687212587,부산광역시 사상구 사상로 300,True,0.06361323155216285,637500000.0,24761040.511004314,-0.00390625,-0.007751937984496138,-0.03759398496240607,740000000.0,-0.14864864864864868,600000000.0,0.050000000000000044,18.0,False,0.9666666666666667,1.0,1.0,0.9419889502762431,0.9812983425414364,district,1.0
A10023208,두산위브더제니스하버시티,동구,범일동,2040.0,2023-05-25,3,2247.0,1.1014705882352942,15.0,33.0,92.0,3,35.1326704859309,129.057266019849,부산광역시 동구 범일로 21,True,0.045098039215686274,635000000.0,24679943.9386623,-0.1505016722408027,-0.029629629629629672,-0.010200226671703838,800000000.0,-0.20625000000000004,420000000.0,0.5119047619047619,11.0,False,1.0,0.72,0.96875,0.9027777777777778,0.8936041666666666,district,1.0
