lawd_cd,dong,jibun,complex_name_normalized,trade_complex_name,kapt_complex_name,kapt_code,internal_complex_id,match_method,match_score,name_similarity,candidate_count,trade_road_address_key,trade_legal_address_key,manual_review
26290,대연동,1543-47,대연힐타운,대연힐타운,,,TRADE_386540D83842,unmatched,0.0,50.0,33,남구|진남로|82-38,남구|대연동|1543-47,True
26290,용호동,394-5,동림드림빌,동림드림빌,,,TRADE_E0F450A574CC,unmatched,0.0,36.36363636363637,22,남구|동명로146번길|22,남구|용호동|394-5,True
26290,용호동,242-1,가람빌리지,가람빌리지,,,TRADE_DDD06853F2DA,unmatched,0.0,42.85714285714286,22,남구|동명로101번길|123,남구|용호동|242-1,True
26290,대연동,281-52,대연그린,대연그린(281-52),대우그린아파트,A60875509,A60875509,dong_fuzzy,75.0,75.0,33,남구|못골번영로66번길|69,남구|대연동|281-52,True
26290,대연동,1739-15,태승타워,태승타워,,,TRADE_7A5428DE7A42,unmatched,0.0,40.0,33,남구|유엔로157번길|91,남구|대연동|1739-15,True
26290,문현동,95-3,문현파크,문현파크,,,TRADE_9E23FF76CB6B,unmatched,0.0,50.0,23,남구|진남로|168,남구|문현동|95-3,True
26290,대연동,899-12,부일전원,부일전원(899-12),,,TRADE_2C98352A0F67,unmatched,0.0,25.0,33,남구|천제등로38번길|3,남구|대연동|899-12,True
26290,대연동,1457-1,글로리리치빌,글로리리치빌,,,TRADE_89C212290C26,unmatched,0.0,33.333333333333336,33,남구|못골번영로|28,남구|대연동|1457-1,True
26290,감만동,243-1,성도맨션,성도맨션,,,TRADE_2B108852D395,unmatched,0.0,14.28571428571429,9,남구|양지골로55번길|1,남구|감만동|243-1,True
26290,용호동,538-40,도시타워,도시타워,용호도시타워,A60876602,A60876602,road_legal_address_exact,100.0,80.0,1,남구|용호로232번길|31,남구|용호동|538-40,False
26290,용호동,50-18,용마맨션,용마맨션,,,TRADE_90414D430C17,unmatched,0.0,40.0,22,남구|동명로101번다길|7,남구|용호동|50-18,True
26290,대연동,1483-24,우진타워,우진타워,,,TRADE_B863A74C3317,unmatched,0.0,40.0,33,남구|못골번영로66번길|1,남구|대연동|1483-24,True
26320,화명동,512,그린숲속,그린숲속아파트,그린숲속(화명그린24),A61683305,A61683305,road_legal_address_exact,100.0,100.0,1,북구|산성로|88,북구|화명동|512,False
26320,덕천동,347-3,경인,경인,,,TRADE_C8272DB19113,unmatched,0.0,0.0,16,북구|만덕대로27번길|31,북구|덕천동|347-3,True
26320,만덕동,954,만덕3휴먼시아,만덕3휴먼시아,만덕3휴먼시아,A61672002,A61672002,road_legal_address_exact,100.0,100.0,1,북구|만덕1로51번길|11,북구|만덕동|954,False
26320,덕천동,346-3,성우,성우아파트,,,TRADE_A2FC176B4B8C,unmatched,0.0,50.0,16,북구|만덕대로39번길|31,북구|덕천동|346-3,True
26320,화명동,1258-1,화명그린파크맨션,화명그린파크맨션,화명그린파크,A61673307,A61673307,road_legal_address_exact,100.0,85.71428571428572,1,북구|금곡대로|280-9,북구|화명동|1258-1,False
