sigungu,dong,complex_count,households,transactions_12m,turnover_12m,median_age,median_84_price,change_6m,change_12m,drawdown
강서구,강동동,4,3056.0,8.0,0.002617801047120419,1.5,540000000.0,,-0.0953846153846154,0.0
강서구,녹산동,2,,3.0,,,,,,
강서구,대저1동,4,,3.0,,,,,,
강서구,대저2동,1,182.0,0.0,0.0,5.0,,,,
강서구,명지동,27,23982.0,1120.0,0.046701692936368944,10.0,409250000.0,-0.02499039754177068,-0.03024308249288854,-0.2911010558069381
강서구,신호동,3,3123.0,35.0,0.011207172590457892,12.0,,0.03864734299516903,-0.045454545454545414,-0.23636363636363633
강서구,지사동,4,3533.0,175.0,0.04953297480894424,10.0,215250000.0,-0.030861438439658717,-0.05098229916358682,-0.22412769842822672
강서구,화전동,1,1515.0,7.0,0.0046204620462046205,6.0,,,,
금정구,구서동,125,12100.0,484.0,0.04,21.0,276000000.0,0.007874015748031482,0.003381180223285485,-0.13559322033898302
금정구,금사동,5,395.0,12.0,0.030379746835443037,22.5,,0.08629441624365475,0.17582417582417587,-0.009174311926605505
금정구,남산동,102,1954.0,91.0,0.0465711361310133,30.5,191250000.0,0.00952380952380949,-0.0625,-0.07467532467532467
금정구,부곡동,90,11365.0,472.0,0.04153101627804663,23.5,408125000.0,-0.01102843102843104,0.001991789819376033,-0.1791588345864662
금정구,서동,25,1079.0,38.0,0.03521779425393883,26.0,,,-0.09782608695652173,-0.12501017501017497
금정구,장전동,60,8481.0,499.0,0.05883740124985261,15.0,467500000.0,-0.025637270207718388,0.032786885245901676,-0.17824675324675326
금정구,청룡동,34,1190.0,49.0,0.041176470588235294,15.5,200250000.0,0.026048243483891842,-0.015329419439008507,-0.09090909090909094
금정구,회동동,2,,4.0,,,,,-0.021276595744680882,-0.026767330130404943
기장군,기장읍교리,17,1879.0,86.0,0.045769026077700906,18.5,154750000.0,0.01391941391941387,-0.0625,-0.20137187653111216
기장군,기장읍내리,2,833.0,20.0,0.024009603841536616,12.5,436500000.0,-0.046789148351648324,-0.012135498515802368,-0.37295157672516166
기장군,기장읍대라리,63,1014.0,64.0,0.0631163708086785,22.0,130000000.0,0.08395872420262662,-0.05178241799103406,-0.03703703703703709
기장군,기장읍대변리,4,117.0,8.0,0.06837606837606838,8.0,370000000.0,0.08823529411764697,-0.04054054054054057,-0.038961038961038974
기장군,기장읍동부리,28,1475.0,69.0,0.04677966101694915,31.0,240000000.0,-0.06690694510697692,0.034482758620689724,-0.039081582804103565
기장군,기장읍서부리,5,702.0,36.0,0.05128205128205128,25.0,,0.41428571428571437,,-0.019607843137254943
기장군,기장읍연화리,1,191.0,1.0,0.005235602094240838,1.0,,,,0.0
기장군,기장읍청강리,10,2909.0,96.0,0.03300103128222757,23.0,256000000.0,-0.10042918454935623,-0.06521739130434778,-0.2784503631961259
기장군,일광읍삼성리,17,5630.0,350.0,0.06216696269982238,6.0,471250000.0,-0.008950915998734599,0.006493506493506551,-0.24028268551236753
기장군,일광읍이천리,6,1510.0,69.0,0.0456953642384106,11.0,,,,0.0
기장군,장안읍명례리,1,,5.0,,,,,,
기장군,정관읍달산리,6,1888.0,71.0,0.03760593220338983,13.0,285750000.0,-0.025609406366504217,-0.13367088607594935,-0.2901423357664234
기장군,정관읍매학리,2,1249.0,60.0,0.04803843074459568,13.0,273250000.0,0.15615501519756847,-0.004225352112676051,-0.1608384242679587
기장군,정관읍모전리,7,6473.0,261.0,0.040321334775220145,13.0,267625000.0,-0.005057161003493127,0.021515547952098202,-0.2947552447552448
기장군,정관읍방곡리,7,2257.0,78.0,0.034559149313247675,10.0,439000000.0,0.05365507666304481,-0.026042460533478473,-0.19693664236706687
기장군,정관읍용수리,9,6483.0,263.0,0.040567638438994295,13.0,322250000.0,0.013268998793727338,0.007659574468085184,-0.18251928020565555
기장군,철마면고촌리,2,474.0,14.0,0.029535864978902954,12.0,230000000.0,-0.06542056074766356,-0.05044510385756673,-0.24863387978142076
남구,감만동,23,3522.0,98.0,0.027825099375354913,29.0,217500000.0,,0.03571428571428581,-0.059233449477351874
남구,대연동,171,21063.0,1231.0,0.0584437164696387,21.0,343250000.0,0.021656050955414008,0.060856269113149786,-0.040000000000000036
남구,문현동,62,9387.0,505.0,0.05379780547565782,20.0,353250000.0,0.018867924528301883,-0.01232778415614233,-0.14453125
남구,용당동,6,1968.0,53.0,0.02693089430894309,25.5,249000000.0,-0.04347826086956519,0.013783242779525362,-0.23156789031402036
남구,용호동,76,21709.0,804.0,0.03703533096872265,29.0,360500000.0,0.010583485571029727,0.00911458333333326,-0.10659430122116692
남구,우암동,16,3159.0,68.0,0.021525799303577082,30.0,238875000.0,-0.023809523809523836,-0.02748414376321351,-0.13857677902621723
동구,범일동,28,4438.0,180.0,0.040558810274898605,15.0,370000000.0,0.013729977116704761,-0.0015634771732332964,-0.08599999999999997
동구,수정동,33,1185.0,97.0,0.08185654008438818,7.0,262500000.0,0.17939393939393944,0.0874242424242424,-0.09153144016227183
동구,좌천동,19,1668.0,90.0,0.0539568345323741,8.0,417500000.0,0.0023866348448686736,-0.024615384615384595,-0.08771929824561409
동구,초량동,64,3767.0,200.0,0.053092646668436425,9.5,480000000.0,-0.024865528421762872,-0.04371584699453557,-0.10892857142857137
동래구,거제동,1,,15.0,,,865000000.0,-0.025352112676056304,0.08435582822085896,-0.2372134038800705
동래구,낙민동,25,5765.0,224.0,0.0388551604509974,28.0,420000000.0,-0.017094017094017144,0.008196721311475308,-0.22786885245901645
동래구,명륜동,29,7707.0,415.0,0.053847151939794995,11.0,702500000.0,0.03861788617886175,0.07534618517512892,-0.07272727272727275
동래구,명장동,37,4621.0,204.0,0.04414628868210344,33.5,277500000.0,-0.03483535364978668,0.012235817575083408,-0.21248415716096325
동래구,복천동,9,1114.0,36.0,0.03231597845601436,33.5,650000000.0,0.026201545191991304,0.06481632653061231,-0.08899789768745625
동래구,사직동,58,11793.0,643.0,0.05452387009242771,19.0,542000000.0,0.013549955791335111,0.10333416583416588,-0.12219378232816086
동래구,수안동,38,2472.0,154.0,0.06229773462783172,44.0,491000000.0,0.013618546159090084,0.00414874982643898,-0.0731974050046339
동래구,안락동,30,8389.0,338.0,0.040290857074740734,21.5,410000000.0,0.005952380952380931,-0.009020618556700999,-0.1910112359550562
동래구,온천동,187,22455.0,1059.0,0.04716098864395458,20.0,486250000.0,0.03925233644859816,0.03942652329749108,-0.10581023454157779
동래구,칠산동,1,,6.0,,,,,,
부산진구,가야동,38,6521.0,259.0,0.039717834687931296,20.0,440000000.0,-0.005291005291005346,-0.010526315789473717,-0.13309316353887396
부산진구,개금동,63,14515.0,536.0,0.03692731656906648,30.5,315250000.0,0.0019308943089431096,-0.003785151216554261,-0.12368421052631584
부산진구,당감동,35,12435.0,447.0,0.03594692400482509,28.5,247500000.0,0.033489108036502846,-0.015916294344522075,-0.17098445595854928
부산진구,범전동,5,1272.0,77.0,0.060534591194968554,7.0,852500000.0,0.048151599875737805,0.10519262981574529,-0.05141129032258063
부산진구,범천동,63,8409.0,408.0,0.04851944345344274,12.0,421500000.0,0.015011589164131478,-0.0021101465091031835,-0.1279419195276973
부산진구,부암동,46,15501.0,601.0,0.03877169214889362,18.0,399500000.0,0.01571983715766101,0.004963945714621443,-0.13551401869158874
부산진구,부전동,38,3252.0,146.0,0.04489544895448955,10.0,245000000.0,0.041366031262581204,-0.016402271837054394,-0.08108108108108103
부산진구,양정동,51,9327.0,489.0,0.05242843357992924,20.0,397500000.0,0.01952328766064204,0.03631835329450983,-0.13156626506024094
부산진구,연지동,31,7987.0,393.0,0.04920495805684237,20.5,316000000.0,0.015231788079470121,0.0059880239520957446,-0.15891472868217055
부산진구,전포동,71,10771.0,590.0,0.05477671525392257,21.0,382500000.0,0.017964071856287456,0.007364828453386041,-0.1358333333333333
부산진구,초읍동,41,3720.0,208.0,0.05591397849462366,24.5,396312500.0,0.006864988558352492,-0.03609068627450979,-0.11310592459605029
북구,구포동,61,9077.0,351.0,0.038669163820645586,29.5,229125000.0,-0.013071895424836555,-0.008946078431372573,-0.1459459459459459
북구,금곡동,18,11341.0,404.0,0.03562296093818887,31.0,312000000.0,-0.00366300366300365,0.0015676359039191179,-0.2127661687589385
북구,덕천동,54,6980.0,262.0,0.03753581661891117,23.5,357000000.0,-0.03915662650602414,0.025102718769123178,-0.110863350485992
북구,만덕동,28,19899.0,652.0,0.03276546560128649,27.0,236250000.0,0.00494771267429106,-0.021590909090909105,-0.2283298097251586
북구,화명동,38,30543.0,1262.0,0.04131879645090528,24.0,482000000.0,0.03112840466926059,0.04421863400148485,-0.15795057575365506
사상구,감전동,6,,6.0,,,,,,0.0
사상구,괘법동,49,4078.0,225.0,0.055174104953408534,6.0,311250000.0,0.06511791622668084,-0.0037509377344335793,-0.0535714285714286
사상구,덕포동,18,6425.0,226.0,0.03517509727626459,31.0,286250000.0,0.04313207752613235,0.004484304932735439,-0.1724137931034483
사상구,모라동,27,8701.0,249.0,0.028617400298816226,32.5,185000000.0,-0.010489310313981592,0.0011525755980687502,-0.180327868852459
사상구,삼락동,2,431.0,12.0,0.027842227378190254,31.0,,,-0.048979591836734726,-0.29179331306990886
사상구,엄궁동,18,7584.0,171.0,0.02254746835443038,27.5,235000000.0,-0.08392713810670471,-0.03020408163265309,-0.1900656814449918
사상구,주례동,41,13800.0,336.0,0.02434782608695652,29.0,235250000.0,-0.0710032122559921,-0.0324321914484339,-0.187243387287801
사상구,학장동,20,9755.0,201.0,0.020604818042029727,32.0,198500000.0,-0.08450704225352113,-0.052631578947368474,-0.17763157894736847
사하구,감천동,26,3102.0,109.0,0.03513862024500322,27.5,193500000.0,-0.12041884816753923,-0.10572012257405516,-0.1364806105244476
사하구,괴정동,140,8458.0,474.0,0.056041617403641525,19.0,324500000.0,-0.025000000000000022,-0.009271523178807972,-0.15108695652173915
사하구,구평동,7,3513.0,141.0,0.04013663535439795,13.0,220000000.0,0.020325203252032575,-0.01089324618736387,-0.3114754098360656
사하구,다대동,32,20309.0,596.0,0.029346595105618198,30.0,232625000.0,0.03403141361256545,-0.020000000000000018,-0.21052631578947367
사하구,당리동,48,4865.0,149.0,0.030626927029804726,32.0,189650000.0,0.007407407407407307,0.0,-0.05128205128205132
사하구,신평동,23,7257.0,270.0,0.037205456800330716,26.5,225250000.0,-0.005866849240343197,-0.023020257826887658,-0.15054667028101565
사하구,장림동,40,11951.0,410.0,0.034306752573006444,25.0,167500000.0,0.023806279804297947,-0.04859374999999999,-0.1686906827227268
사하구,하단동,104,8169.0,366.0,0.04480352552331987,25.0,225000000.0,-0.04155844155844157,-0.03929604628736744,-0.09422992540587977
서구,남부민동,14,1098.0,34.0,0.030965391621129327,26.0,,-0.11875000000000002,0.1020408163265305,-0.1428571428571429
서구,동대신동1가,8,503.0,42.0,0.08349900596421471,5.0,391250000.0,0.033653846153846256,5.885122410542731e-05,-0.13749999999999996
서구,동대신동2가,11,410.0,13.0,0.03170731707317073,50.0,,-0.03951975987993994,-0.024752475247524774,-0.017241379310344807
서구,동대신동3가,13,846.0,36.0,0.0425531914893617,25.0,470000000.0,0.04648862512364005,0.04591836734693877,-0.07843137254901966
서구,부민동1가,6,,10.0,,,280000000.0,-0.03633217993079585,-0.01754385964912286,-0.11020408163265305
