internal_complex_id,complex_name,sigungu,dong,households,approval_date,apartment_age,parking_total,parking_per_household,transactions_3m,transactions_6m,transactions_12m,area_variety,latitude,longitude,road_address,provisional,turnover_12m,price_84,price_84_per_3_3sqm,price_change_3m,price_change_6m,price_change_12m,rolling_peak,drawdown_from_peak,rolling_trough,recovery_from_trough,sample_count,low_sample_flag,discount_vs_dong_mean,watch_label
A60471808,당리신익,사하구,당리동,300.0,1992-01-24,34,284.0,0.9466666666666667,1.0,2.0,5.0,3,35.1039461588334,128.979653342323,부산광역시 사하구 승학로 123-4,True,0.016666666666666666,,,,,,195000000.0,-0.18974358974358974,140000000.0,0.12857142857142856,0.0,True,,데이터 기반 노후단지
A60471811,당리에덴동산타운,사하구,당리동,245.0,1989-01-12,37,,,1.0,2.0,3.0,4,35.1051472093201,128.982578000911,부산광역시 사하구 승학로131번길 39,True,0.012244897959183673,,,,,,165000000.0,0.0,165000000.0,0.0,0.0,True,,데이터 기반 노후단지
A60471904,삼성타워맨션,사하구,당리동,210.0,1991-12-19,34,190.0,0.9047619047619048,3.0,5.0,8.0,2,35.1065009310321,128.984611817306,부산광역시 사하구 마하로 81,True,0.0380952380952381,97500000.0,3791126.769595151,0.13372093023255816,-0.22083333333333333,,220000000.0,-0.5227272727272727,75000000.0,0.3999999999999999,5.0,False,-0.27730936718243304,데이터 기반 노후단지
A60472010,당리4차혜성,사하구,당리동,423.0,1996-01-30,30,288.0,0.6808510638297872,3.0,7.0,18.0,3,35.1100235494771,128.979455564708,부산광역시 사하구 제석로 127,True,0.0425531914893617,180400000.0,7056899.004267424,0.02209631728045336,0.20477001703577513,0.046875,201000000.0,-0.12039800995024874,132000000.0,0.33939393939393936,4.0,False,0.33716297600296485,데이터 기반 노후단지
A60472602,신평한성임호,사하구,신평동,217.0,1993-06-18,33,160.0,0.7373271889400922,1.0,2.0,10.0,3,35.0924608067553,128.979682076481,부산광역시 사하구 다대로 109,True,0.04608294930875576,125000000.0,4854083.3137208745,-0.15540540540540537,-0.10491803278688527,0.006802721088435382,202000000.0,-0.3811881188118812,124000000.0,0.008064516129032251,2.0,True,-0.2652461425422483,데이터 기반 노후단지
A60473003,조성,사하구,다대동,408.0,1990-03-31,36,180.0,0.4411764705882353,1.0,5.0,7.0,2,35.0563303584511,128.966762182539,부산광역시 사하구 윤공단로17번길 103,True,0.01715686274509804,,,,,,,,,,,,,데이터 기반 노후단지
A60473407,신동양,사하구,괴정동,273.0,1979-12-20,46,249.0,0.9120879120879121,0.0,1.0,6.0,3,35.0978488812929,128.987832163174,부산광역시 사하구 장평로450번길 12,True,0.02197802197802198,,,,,0.08108108108108114,410000000.0,-0.31707317073170727,200000000.0,0.3999999999999999,0.0,True,,데이터 기반 노후단지
A60473602,구평화신,사하구,구평동,496.0,1993-05-14,33,393.0,0.7923387096774194,4.0,9.0,13.0,2,35.086802317881,128.993009102991,부산광역시 사하구 사하로 47,True,0.02620967741935484,123500000.0,4797810.347872153,-0.13862249346120314,-0.14761904761904765,0.08015267175572527,188000000.0,-0.36170212765957444,120000000.0,0.0,7.0,False,0.0,데이터 기반 노후단지
A60474307,다대해송,사하구,다대동,714.0,1991-12-06,34,306.0,0.42857142857142855,2.0,6.0,19.0,1,35.062715611943,128.977558970913,부산광역시 사하구 다대로 470,True,0.02661064425770308,,,,,,,,,,,,,데이터 기반 노후단지
A60474905,한신혜성,사하구,하단동,533.0,1996-05-07,30,354.0,0.6641651031894934,3.0,6.0,16.0,3,35.1012889287059,128.971520894865,부산광역시 사하구 동매로 120,True,0.0300187617260788,195000000.0,7628022.759601707,,0.054054054054053946,-0.051186017478152324,233000000.0,-0.16309012875536477,165000000.0,0.18181818181818188,1.0,True,-0.2158176943699731,데이터 기반 노후단지
