month,kapt_code,complex_name,sigungu,dong,households,confirmed_households,priced_households,household_coverage,price_coverage,share_3m,share_6m,share_12m,market_cap_krw,partial_cap_krw,per_household_krw,market_cap_1m_krw,small_sample_1m,grade,reason,composition_hash,method_signature,historical_limit,initial_history_short,input_hash,rules_hash,master_hash,run_id,executed_at,rank,district_rank,household_value_rank,mom_krw,mom_pct,yoy_pct,rank_change,common_rank,common_rank_change,comparison_status,change_flags
2026-08,A61274508,동부올림픽아파트,해운대구,우동,1680.0,1680,1680,1.0,1.0,0.7619047619047619,0.23809523809523808,0.0,1519200000000.0,1519200000000.0,904285714.2857143,,True,B,,087f378eb6bf36aa55f4811d5f0753b1ebadabd6e3f13875680af256e006e0c9,"[[""exclusive_59.8"", ""median_3m""], [""exclusive_84.96"", ""median_3m""], [""exclusive_114.92"", ""median_6m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,1.0,1.0,1.0,,,,,,,신규,
2026-08,A61479104,양정현대2차아파트,부산진구,양정동,1901.0,1901,1901,1.0,1.0,0.8190426091530774,0.18095739084692267,0.0,691240000000.0,691240000000.0,363619147.81693846,692960000000.0,True,B,,5d1a48b76de90c67d24e7f9e60f0a9b6cbfcfd76f940e1843648223984ed96d8,"[[""exclusive_59.95"", ""median_3m""], [""exclusive_84.99"", ""median_3m""], [""exclusive_114.98"", ""median_6m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,2.0,1.0,5.0,,,,,,,신규,
2026-08,A60710004,안락뜨란채2단지아파트,동래구,안락동,1420.0,1420,1420,1.0,1.0,0.8,0.2,0.0,584852000000.0,584852000000.0,411867605.63380283,,True,B,,456b9cd0eb23c08f24d7a74b8fe4b008a37524a91b2cf5c79db35182d5497731,"[[""exclusive_51.86"", ""median_3m""], [""exclusive_59.91"", ""median_3m""], [""exclusive_59.98"", ""median_3m""], [""exclusive_74.65"", ""median_6m""], [""exclusive_84.92"", ""median_3m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,3.0,1.0,3.0,,,,,,,신규,
2026-08,A61475403,양정현대1차아파트,부산진구,양정동,1733.0,1733,1733,1.0,1.0,0.8845931909982689,0.1154068090017311,0.0,543475000000.0,543475000000.0,313603577.61107904,,True,B,,8378e00dccc94f4a78912caca32416d1acef0bcebfd258a05e399b78b3339a16,"[[""exclusive_42.63"", ""median_3m""], [""exclusive_59.95"", ""median_3m""], [""exclusive_84.99"", ""median_3m""], [""exclusive_114.98"", ""median_6m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,4.0,2.0,8.0,,,,,,,신규,
2026-08,A61612016,화명수정강변타운,북구,화명동,1780.0,1780,1780,1.0,1.0,0.947752808988764,0.052247191011235955,0.0,519361000000.0,519361000000.0,291775842.6966292,,True,B,,b135a20626c0f67082e6719cec9c3ae5f71bdba00ec1256ff0cb21e802e8b2d5,"[[""exclusive_49.82"", ""median_3m""], [""exclusive_59.4"", ""median_3m""], [""exclusive_59.57"", ""median_6m""], [""exclusive_84.34"", ""median_3m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,5.0,1.0,10.0,,,,,,,신규,
2026-08,A61281117,센텀대림,해운대구,반여동,1500.0,1500,1500,1.0,1.0,0.8106666666666666,0.18933333333333333,0.0,483228000000.0,483228000000.0,322152000.0,,True,B,,0b14b0963e554fdb00859833ec8ae9e4456e67c6afed133d3a5ca8301fcc1cd7,"[[""exclusive_59.99"", ""median_3m""], [""exclusive_84.98"", ""median_3m""], [""exclusive_126.93"", ""median_6m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,6.0,2.0,6.0,,,,,,,신규,
2026-08,A61203013,두산2차아파트,해운대구,좌동,632.0,632,632,1.0,1.0,1.0,0.0,0.0,355060000000.0,355060000000.0,561803797.4683545,331112000000.0,True,A,,118b350042affff42a944f90c781a9e6d120818ee27b5acbb3ad4709b808d277,"[[""exclusive_59.94"", ""median_3m""], [""exclusive_84.9"", ""median_3m""], [""exclusive_134.97"", ""median_3m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,7.0,3.0,2.0,,,,,,,신규,
2026-08,A61203022,해운대롯데3차아파트,해운대구,좌동,824.0,824,824,1.0,1.0,1.0,0.0,0.0,331776000000.0,331776000000.0,402640776.69902915,334032000000.0,True,A,,d449363620771baeb8bf922e2931c0859b6bb6fd3ed03833e93e5189d68d2b16,"[[""exclusive_59.6"", ""median_3m""], [""exclusive_59.76"", ""median_3m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,8.0,4.0,4.0,,,,,,,신규,
2026-08,A61375603,비치-그린아파트,수영구,광안동,1038.0,1038,1038,1.0,1.0,0.4210019267822736,0.5789980732177264,0.0,330693000000.0,330693000000.0,318586705.2023121,357295000000.0,True,B,,5d83b07b83dc61b15d5cfd48f2e588e70ff738178fb469ea3171867c99630809,"[[""exclusive_59.76"", ""median_3m""], [""exclusive_84.9"", ""median_6m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,9.0,1.0,7.0,,,,,,,신규,
2026-08,A60482013,다대몰운대아파트,사하구,다대동,2960.0,2960,2960,1.0,1.0,1.0,0.0,0.0,293040000000.0,293040000000.0,99000000.0,279720000000.0,False,A,,1c9517a7f409fed75694cc39aeb3dd5ec46f19f8b8ae94416a63cd042d3ce138,"[[""exclusive_49.08"", ""median_3m""]]",현재 확보 자료로 재구성한 과거 추정치; 과거 세대 구성 미확인,False,555b475dcef496b2254b825ba10b0724d7994196dba4c4e18f34e7f5aa4db599,54cb25d3544257419c8c9faa1ee168a8848dbea69689888cc0985fdd2c7a4797,ed22070000c1f425633073aec41cd0475b986c3ad372d2a8aae8d6171a317f44,f2a5f0d6492eb8372b471470,2026-09-18T13:45:05.713829+09:00,10.0,1.0,25.0,,,,,,,신규,
